#  STM32L152  This was auto-generated by make-af-csv.py
Port ,Pin ,AF0          ,AF1     ,AF2     ,AF3       ,AF4      ,AF5              ,AF6              ,AF7       ,AF8     ,AF9 ,AF10,AF11                        ,AF12,AF13,AF14                         ,AF15    ,ADC      ,SYS
PortB,PB11,             ,TIM2_CH4,        ,          ,I2C2_SDA ,                 ,                 ,USART3_RX ,        ,    ,    ,LCD_SEG11                   ,    ,    ,                             ,EVENTOUT,         ,
PortB,PB12,             ,        ,        ,TIM10_CH1 ,I2C2_SMBA,SPI2_NSS/I2S2_WS ,                 ,USART3_CK ,        ,    ,    ,LCD_SEG12                   ,    ,    ,COMP1_INP/TS_G7_IO1          ,EVENTOUT,ADC1_IN18,
PortB,PB13,             ,        ,        ,TIM9_CH1  ,         ,SPI2_SCK/I2S2_CK ,                 ,USART3_CTS,        ,    ,    ,LCD_SEG13                   ,    ,    ,COMP1_INP/TS_G7_IO2          ,EVENTOUT,ADC1_IN19,
PortB,PB14,             ,        ,        ,TIM9_CH2  ,         ,SPI2_MISO        ,                 ,USART3_RTS,        ,    ,    ,LCD_SEG14                   ,    ,    ,COMP1_INP/TS_G7_IO3          ,EVENTOUT,ADC1_IN20,
PortB,PB15,RTC_REFIN    ,        ,        ,TIM11_CH1 ,         ,SPI2_MOSI/I2S2_SD,                 ,          ,        ,    ,    ,LCD_SEG15                   ,    ,    ,COMP1_INP/TS_G7_IO4          ,EVENTOUT,ADC1_IN21,
PortC,PC0 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG18                   ,    ,    ,COMP1_INP/TIMX_IC1/TS_G8_IO1 ,EVENTOUT,ADC1_IN10,
PortC,PC1 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG19                   ,    ,    ,COMP1_INP/TIMX_IC2/TS_G8_IO2 ,EVENTOUT,ADC1_IN11,
PortC,PC2 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG20                   ,    ,    ,COMP1_INP/TIMX_IC3/TS_G8_IO3 ,EVENTOUT,ADC1_IN12,
PortC,PC3 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG21                   ,    ,    ,COMP1_INP/TIMX_IC4/TS_G8_IO4 ,EVENTOUT,ADC1_IN13,
PortC,PC4 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG22                   ,    ,    ,COMP1_INP/TIMX_IC1/TS_G9_IO1 ,EVENTOUT,ADC1_IN14,
PortC,PC5 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG23                   ,    ,    ,COMP1_INP/TIMX_IC2/TS_G9_IO2 ,EVENTOUT,ADC1_IN15,
PortC,PC6 ,             ,        ,TIM3_CH1,          ,         ,I2S2_MCK         ,                 ,          ,        ,    ,    ,LCD_SEG24                   ,    ,    ,TIMX_IC3/TS_G10_IO1          ,EVENTOUT,         ,
PortC,PC7 ,             ,        ,TIM3_CH2,          ,         ,                 ,I2S3_MCK         ,          ,        ,    ,    ,LCD_SEG25                   ,    ,    ,TIMX_IC4/TS_G10_IO2          ,EVENTOUT,         ,
PortC,PC8 ,             ,        ,TIM3_CH3,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG26                   ,    ,    ,TIMX_IC1/TS_G10_IO3          ,EVENTOUT,         ,
PortC,PC9 ,             ,        ,TIM3_CH4,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG27                   ,    ,    ,TIMX_IC2/TS_G10_IO4          ,EVENTOUT,         ,
PortC,PC10,             ,        ,        ,          ,         ,                 ,SPI3_SCK/I2S3_CK ,USART3_TX ,UART4_TX,    ,    ,LCD_COM4/LCD_SEG28/LCD_SEG40,    ,    ,TIMX_IC3                     ,EVENTOUT,         ,
PortC,PC11,             ,        ,        ,          ,         ,                 ,SPI3_MISO        ,USART3_RX ,UART4_RX,    ,    ,LCD_COM5/LCD_SEG29/LCD_SEG41,    ,    ,TIMX_IC4                     ,EVENTOUT,         ,
PortC,PC12,             ,        ,        ,          ,         ,                 ,SPI3_MOSI/I2S3_SD,USART3_CK ,UART5_TX,    ,    ,LCD_COM6/LCD_SEG30/LCD_SEG42,    ,    ,TIMX_IC1                     ,EVENTOUT,         ,
PortC,PC13,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC2                     ,EVENTOUT,         ,RTC_OUT_ALARM/RTC_OUT_CALIB/RTC_TAMP1/RTC_TS/WKUP2
PortC,PC14,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC3                     ,EVENTOUT,         ,OSC32_IN
PortC,PC15,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC4                     ,EVENTOUT,         ,OSC32_OUT
PortD,PD0 ,             ,        ,        ,TIM9_CH1  ,         ,SPI2_NSS/I2S2_WS ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC1                     ,EVENTOUT,         ,
PortD,PD1 ,             ,        ,        ,          ,         ,SPI2_SCK/I2S2_CK ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC2                     ,EVENTOUT,         ,
PortD,PD2 ,             ,        ,TIM3_ETR,          ,         ,                 ,                 ,          ,UART5_RX,    ,    ,LCD_COM7/LCD_SEG31/LCD_SEG43,    ,    ,TIMX_IC3                     ,EVENTOUT,         ,
PortD,PD3 ,             ,        ,        ,          ,         ,SPI2_MISO        ,                 ,USART2_CTS,        ,    ,    ,                            ,    ,    ,TIMX_IC4                     ,EVENTOUT,         ,
PortD,PD4 ,             ,        ,        ,          ,         ,SPI2_MOSI/I2S2_SD,                 ,USART2_RTS,        ,    ,    ,                            ,    ,    ,TIMX_IC1                     ,EVENTOUT,         ,
PortD,PD5 ,             ,        ,        ,          ,         ,                 ,                 ,USART2_TX ,        ,    ,    ,                            ,    ,    ,TIMX_IC2                     ,EVENTOUT,         ,
PortD,PD6 ,             ,        ,        ,          ,         ,                 ,                 ,USART2_RX ,        ,    ,    ,                            ,    ,    ,TIMX_IC3                     ,EVENTOUT,         ,
PortD,PD7 ,             ,        ,        ,TIM9_CH2  ,         ,                 ,                 ,USART2_CK ,        ,    ,    ,                            ,    ,    ,TIMX_IC4                     ,EVENTOUT,         ,
PortD,PD8 ,             ,        ,        ,          ,         ,                 ,                 ,USART3_TX ,        ,    ,    ,LCD_SEG28                   ,    ,    ,TIMX_IC1                     ,EVENTOUT,         ,
PortD,PD9 ,             ,        ,        ,          ,         ,                 ,                 ,USART3_RX ,        ,    ,    ,LCD_SEG29                   ,    ,    ,TIMX_IC2                     ,EVENTOUT,         ,
PortD,PD10,             ,        ,        ,          ,         ,                 ,                 ,USART3_CK ,        ,    ,    ,LCD_SEG30                   ,    ,    ,TIMX_IC3                     ,EVENTOUT,         ,
PortD,PD11,             ,        ,        ,          ,         ,                 ,                 ,USART3_CTS,        ,    ,    ,LCD_SEG31                   ,    ,    ,TIMX_IC4                     ,EVENTOUT,         ,
PortD,PD12,             ,        ,TIM4_CH1,          ,         ,                 ,                 ,USART3_RTS,        ,    ,    ,LCD_SEG32                   ,    ,    ,TIMX_IC1                     ,EVENTOUT,         ,
PortD,PD13,             ,        ,TIM4_CH2,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG33                   ,    ,    ,TIMX_IC2                     ,EVENTOUT,         ,
PortD,PD14,             ,        ,TIM4_CH3,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG34                   ,    ,    ,TIMX_IC3                     ,EVENTOUT,         ,
PortD,PD15,             ,        ,TIM4_CH4,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG35                   ,    ,    ,TIMX_IC4                     ,EVENTOUT,         ,
PortE,PE0 ,             ,        ,TIM4_ETR,TIM10_CH1 ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG36                   ,    ,    ,TIMX_IC1                     ,EVENTOUT,         ,
PortE,PE1 ,             ,        ,        ,TIM11_CH1 ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG37                   ,    ,    ,TIMX_IC2                     ,EVENTOUT,         ,
PortE,PE2 ,TRACECK      ,        ,TIM3_ETR,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG38                   ,    ,    ,TIMX_IC3                     ,EVENTOUT,         ,
PortE,PE3 ,TRACED0      ,        ,TIM3_CH1,          ,         ,                 ,                 ,          ,        ,    ,    ,LCD_SEG39                   ,    ,    ,TIMX_IC4                     ,EVENTOUT,         ,
PortE,PE4 ,TRACED1      ,        ,TIM3_CH2,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC1                     ,EVENTOUT,         ,
PortE,PE5 ,TRACED2      ,        ,        ,TIM9_CH1  ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC2                     ,EVENTOUT,         ,
PortE,PE6 ,TRACED3      ,        ,        ,TIM9_CH2  ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC3                     ,EVENTOUT,         ,RTC_TAMP3/WKUP3
PortE,PE7 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,COMP1_INP/TIMX_IC4           ,EVENTOUT,ADC1_IN22,
PortE,PE8 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,COMP1_INP/TIMX_IC1           ,EVENTOUT,ADC1_IN23,
PortE,PE9 ,             ,TIM2_CH1,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,COMP1_INP/TIMX_IC2           ,EVENTOUT,ADC1_IN24,
PortE,PE10,             ,TIM2_CH2,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,COMP1_INP/TIMX_IC3           ,EVENTOUT,ADC1_IN25,
PortE,PE11,             ,TIM2_CH3,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC4                     ,EVENTOUT,         ,
PortE,PE12,             ,TIM2_CH4,        ,          ,         ,SPI1_NSS         ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC1                     ,EVENTOUT,         ,
PortE,PE13,             ,        ,        ,          ,         ,SPI1_SCK         ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC2                     ,EVENTOUT,         ,
PortE,PE14,             ,        ,        ,          ,         ,SPI1_MISO        ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC3                     ,EVENTOUT,         ,
PortE,PE15,             ,        ,        ,          ,         ,SPI1_MOSI        ,                 ,          ,        ,    ,    ,                            ,    ,    ,TIMX_IC4                     ,EVENTOUT,         ,
PortF,PF0 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortF,PF1 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortF,PF2 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortF,PF3 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortF,PF4 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortF,PF5 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortF,PF6 ,             ,        ,TIM5_CH1,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TS_G11_IO1                   ,EVENTOUT,ADC1_IN27,
PortF,PF7 ,             ,        ,TIM5_CH2,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,COMP1_INP/TS_G11_IO2         ,EVENTOUT,ADC1_IN28,
PortF,PF8 ,             ,        ,TIM5_CH3,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,COMP1_INP/TS_G11_IO3         ,EVENTOUT,ADC1_IN29,
PortF,PF9 ,             ,        ,TIM5_CH4,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,COMP1_INP/TS_G11_IO4         ,EVENTOUT,ADC1_IN30,
PortF,PF10,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,COMP1_INP/TS_G11_IO5         ,EVENTOUT,ADC1_IN31,
PortF,PF11,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TS_G3_IO4                    ,EVENTOUT,         ,
PortF,PF12,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TS_G3_IO5                    ,EVENTOUT,         ,
PortF,PF13,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TS_G9_IO3                    ,EVENTOUT,         ,
PortF,PF14,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TS_G9_IO4                    ,EVENTOUT,         ,
PortF,PF15,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TS_G2_IO3                    ,EVENTOUT,         ,
PortG,PG0 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TS_G2_IO4                    ,EVENTOUT,         ,
PortG,PG1 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TS_G2_IO5                    ,EVENTOUT,         ,
PortG,PG2 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TS_G7_IO5                    ,EVENTOUT,         ,
PortG,PG3 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TS_G7_IO6                    ,EVENTOUT,         ,
PortG,PG4 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,TS_G7_IO7                    ,EVENTOUT,         ,
PortG,PG5 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortG,PG6 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortG,PG7 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortG,PG8 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortG,PG9 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortG,PG10,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortG,PG11,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortG,PG12,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortG,PG13,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortG,PG14,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortG,PG15,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,EVENTOUT,         ,
PortH,PH0 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,        ,         ,OSC_IN
PortH,PH1 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,        ,         ,OSC_OUT
PortH,PH2 ,             ,        ,        ,          ,         ,                 ,                 ,          ,        ,    ,    ,                            ,    ,    ,                             ,        ,         ,
